Programs,Stimulation Score,TV or YouTube,Target Age Group,Seasons,,Avg. Epsiode,"Themes, Teachings, Guidance",Interactivity Level,Animation Styles,Dialougue Intensity,Sound Effects,Music Tempo,Total Music,Total Sound Effect Time,Scene Frequency
Grizzy and the Lemmings (2016-present),5,TV,6-10,4 Seasons,,7 minutes,"Communiction & Expression, Entertainment, Problem Solving, Humor, Slapstic Comedy, Mild Fantasy Violence",Low,3D CGI animation,Very Low,Very-High,High,High,High,High
Guess How Much I Love You,2,TV,2-5,3 Seasons,,11 minutes,"Emotional Intelligence, Friendship, Family Values, Social-Emotional",Moderate,2D Digital Animation with a watercolor aesthetic. Color Palette: Soft and natural colors with pastel hues.,Low-Moderate,Low,Low-Moderate,Moderate,Low,Moderate
"Gullah, Gullah Island",3,TV,3-7,4 Seasons,,24 minutes,"Cultural & Social, Life Lessons, Cultures & Traditions, Cultural Appreciation, sing-a-long, Dance, Social-Emotional, Social Development, Music",High,Live-Action with musical elements. Color Palette: Bright and vibrant colors reflecting the cultural setting.,Moderate-High,Moderate,Moderate-High,High,Moderate,Moderate
Gumby: The Movie,3,TV,4-8,3 Seasons,,7 minutes,"Creativity & Imagination, Problem Solving, Perseverance",Low to Moderate,Stop-Motion Animation using clay figures (claymation). Color Palette: Varied colors with a mix of bright and muted tones. Unique asthetic uncommon in the present day.,Low-Moderate,Moderate-High,Varies,High,High,Moderate
Handyman Hal,4,YouTube,3-8,,,,"Life Lessons, Engineering Concepts, Cultures & Traditions, Cultural Appreciation, Vehicle Themes, STEM, Farm Life, Agriculture, Mechanics, Curiosity, Entertainment, Humor, Safety",Moderate,Primarily live-action with occasional animated elements to highlight tools or processes.,High,High,Moderate-High,High,High,High
He-Man and the Masters of the Universe,4,TV,8-12,2 Seasons,,22 minutes,"Super Hero Themes, Positive Role Models, Entertainment, Responsibility, Morality, Adventure, Fantasy Elements, Mild Violent themes, Mild Fantasy Violence",Low to Moderate,Traditional 2D Animation with action-oriented designs. Color Palette: Bright and vivid colors with bold contrasts.,Moderate-High,High,Moderate-High,High,High,Moderate-High
Helper Cars,3,YouTube,2-5,,,,"Vehicle Themes, Teamwork, Colours, Shapes, Problem Solving, Vehicle Recognition, Entertainment, Mechanics",Low,3D CGI Animation with Bright Colors and Friendly Vehicle Characters,Low-Moderate,High,Moderate,High,High,Moderate-High
Hero Elementary,4,TV,4-8,2 Seasons,,26 minutes,"STEM, Super Hero Themes, Problem Solving, Teamwork, Emotional Intelligence, Curiosity, Critical Thinking, Science",High,2D Digital Animation with bright and colorful designs. Color Palette: Bright and vivid colors with emphasis on primary colors.,High,High,Moderate-High,High,High,Moderate
Hey Bear Sensory,5,YouTube,0-3,,,,"Early Childhood experiences, Sensory Exploration, Colours, Motor Skills, Music",Low,High-Contrast 3D Animation with Bright Colors and Simple Shapes,None,Moderate-High,High,Very-High (Repetative) ,High,High
Hey Duggee,4,TV,2-5,4 Seasons,,07 minutes (average),"Creativity & Imagination, Merit Reward systems, Teamwork, Problem Solving, Perseverance",High,"2D Digital Animation with simple, geometric shapes and bold outlines. Bright and bold colors with clear contrasts.",Moderate,Moderate-High,Moderate-High,High,High,Moderate
Horrid Henry,4,TV,6-10,6 Seasons,,11 minutes,"Creativity & Imagination, Cause and Effect, Morality, Humor, Entertainment, Mischievious Behaviour",Low to Moderate,2D Digital Animation with bold lines and exaggerated expressions. Color Palette: Bright and vivid colors with high contrast,High,High,Moderate-High,High,High,High
Hudson’s Playground,3,YouTube,3-8,,,,"Creativity & Imagination, Cultures & Traditions, Life Lessons, Farm Life, Machinery, Agriculture, Outdoor Exploration, Problem Solving, Family Relationships, Curiosity",Low to Moderate,Live-Action Family Videos,Moderate,Moderate-High,Moderate,Moderate,High,Moderate-High
If You Give a Mouse a Cookie(2015-present),3,TV,3-6,2 Seasons,,24 minutes,"Life Lessons, Cause and Effect, Creativity & Imagination, Problem Solving, Curiosity, Critical Thinking, Cognitive Development",Moderate,2D digital animation,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
In the Night Garden (07-09),1,TV,1-4,3 Seasons,,27 minutes,"Preschool-Basics, Sensory Exploration, Repetitive Learning, Motor Skills, Cognitive Development",Low,Live-action costume performances combined with CGI-enhanced environments,Low,Low,Low,Low,High,Low
It's a Big Big World,2,TV,3-6,2 Seasons,,27 minutes,"Enviromental Awareness, Science, Friendship, Nature, Ecosystems, Curiosity",Moderate,"Live-action puppetry with CGI backgrounds.Color Palette: Soft, natural colors with earthy tones.",Moderate,Low-Moderate,Low-Moderate,Moderate,Low,Moderate
Johnson & Friends,2,TV,3-6,4 Seasons,,10 minutes,"Creativity & Imagination, Friendship, Problem Solving, Teamwork",Moderate,Live action with costumed characters,Low-Moderate,Moderate,Low-Moderate,Moderate,Low,Moderate
JoJo & Gran Gran,2,TV,3-6,3 Seasons,,11 minutes,"Cultures & Traditions, Family Relationships, Family Values, Relatable Situations, Emotional Intelligence",Moderate,2D Digital Animation with a hand-drawn aesthetic.,Moderate,Low-Moderate,Low-Moderate,Moderate,Low,Moderate
Juf Roos,3,YouTube,2-6,,,,"Cultures & Traditions, Cultural Appreciation, Learning through Songs, Dutch Language, Language Learning, sing-a-long, Dance, Literacy, Music",Moderate,Live-Action with Colorful Costumes and Simple Sets,Moderate-High,Moderate,Moderate,High,Moderate,Moderate
JunyTony - Songs and Stories,4,YouTube,2-6,,,,"Creativity & Imagination, Learning from Mistakes, Learning through Songs, Cultures & Traditions, Cultural Appreciation, Literacy, Numeracy, sing-a-long, Dance, Phonics, Vocabulary, Music, Routine, Social-Emotional",High,2D Animation with Vibrant Colors and Cute Characters,High,High,High,Very-High,High,High
KarazahChannel,3,YouTube,3-8,,,,"Cultures & Traditions, Cultural Appreciation, Cultural & Social, Language Learning, Arabic Language Learning, Literacy, sing-a-long, Reading Comprehension, Music, Repetitive Learning",High,Mix of 3D CGI animations for the characters and settings,Moderate,Moderate,Moderate,Moderate-High,Moderate,Moderate
Katuri tv,3,YouTube,3-7,,,,"Nature, Family Relationships, Animals, Nature Sounds, Problem Solving, Social Development, Entertainment, Humor, Social-Emotional",Low,3D CGI animation with bright and vivid colors,Moderate,Moderate,Moderate,Moderate-High,Moderate,Low-Moderate
Kazwa and Bilal,1,TV,3-6,3 Seasons,,11 minutes,"Cultural Appreciation, Cultures & Traditions, Cultural & Social, Curiosity, Social-Emotional, Relatable Situations, Religion, Morality",Moderate,2D Digital Animation with bright and colorful designs. Color Palette: Bright and vivid colors with emphasis on primary colors.,Low,Moderate,Low-Moderate,Moderate-High,Moderate-High,Moderate
Kid-E-Cats,3,YouTube,3-6,,,,"Creativity & Imagination, Problem Solving, Friendship,  Emotional Intelligence, Conflict Resolution, Family Relationships, Family Values, Social-Emotional, Social Development, Relatable Situations",Low to Moderate,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds,High,Moderate,Moderate-High,High,Moderate,Moderate-High
Kids 2 kids,4,YouTube,5-10,,,,"Vehicle Themes, Learn Through Play, Creativity & Imagination, Social-Emotional, Humor, Outdoor Exploration, DIY Projects, Curiosity, Silly Comedy",Low,Live-Action Family Videos,Moderate-High,Low-Moderate,Low-Moderate,Moderate,Moderate,High
Kipper(1997-2000),1,TV,2-5,6 Seasons,,10 minutes,"Creativity & Imagination, Social-Emotional, Problem Solving, Friendship",Moderate,Traditional hand-drawn 2D animation,Low-Moderate,Low,Low-Moderate,Low,Moderate,Low
Kiri and Lou,1,TV,3-6,4 Seasons,,5 minutes,"Social-Emotional, Friendship, Nature, Emotional Intelligence, Mindfulness",Moderate,Stop-motion animation using clay and paper cutouts,Low-Moderate,Low,Low,Moderate,Low,Low
Laurie Berkner,3,YouTube,2-6,,,,"Learning through Songs, Physical Fitness, Early Childhood experiences, Music, sing-a-long, Social-Emotional, Literacy, Entertainment, Dance",Low to Moderate,Live-Action with Colorful Green Screen Animations,Mod-High (Singing),Moderate,Moderate,Very-High,Moderate,Moderate
Lazytown,5,TV,3-6,,,24 minutes,"Physical Fitness, Positive Role Models, Healthy Eating, Teamwork, Problem Solving, Exercise, Motor Skills, sing-a-long, Dance, Perseverance",High,"Combination of live-action, puppetry, and CGI elements. Color Palette: Bright and vivid colors with high contrast",High,High,High,High,High,High
Leo the Truck,5,YouTube,2-6,,,,"Preschool-Basics, Vehicle Themes, Colours, Shapes, Vehicle Recognition, Mechanics, Curiosity",Low to Moderate,3D CGI Animation with bright and vibrant colors. Color Palette: Bright and cheerful colors with high saturation.,Low-Moderate,Moderate-High,Moderate,High,High,Moderate
Leo the wild live ranger,5,YouTube,3-7,,,,"Wildlife Exploration, Wildlife Conservation, Animals, Animal Behaviour, Curiosity, Problem Solving, Nature, Natural World, Responsibility",Low to Moderate,3D CGI animation with detailed depictions of animals and environments.,High,Moderate,Moderate,Moderate-High,Moderate,Moderate-High
Les' Copaque Production - Upin & Ipin,3,YouTube,4-10,,,,"Cultural & Social, Learning from Mistakes, Cultures & Traditions, Cultural Appreciation, Morality, Responsibility, Relatable Situations, Family Relationships, Family Values, Social-Emotional, Emotional Intelligence",Moderate,3D CGI animation with vibrant colors and detailed environments reflecting Malaysian village life.,High,Moderate,Moderate,Moderate-High,Moderate,Moderate
LifeKids (Blinky’s Bible adventures),2,YouTube,Any,,,,"Religious Teachings, Cultures & Traditions, Cultural & Social, Cause and Effect, Life Lessons, Spiritual Development, Religion, Family Relationships, Relatable Situations, Social-Emotional, Morality, sing-a-long, Repetitive Learning, Dance",High,Combination of Live-Action and 2D Animation. Color Palette: Bright and primary colors.,Moderate,Low,Moderate,Moderate,Low,Low-Moderate
Listener Kids,2,YouTube,2-6,,,,"Learning through Songs, Cultures & Traditions, Cultural & Social, Spiritual Development, Faith, Biblical Stories, Religion, Christian Values, Morality, sing-a-long, Social Development, Positve Mindset",High,"Combination of live-action and animated elements, featuring colorful visuals and friendly characters.",High (Singing),Moderate,Moderate,Very-High,Moderate,Moderate
Little Angel,5,TV,1-4,1 Seasons,,03 minutes,"Preschool-Basics, Numeracy, Literacy, Routine, Social-Emotional, sing-a-long, Cognitive Development, Repetitive Learning",High,3D CGI animation with bright and vivid colors.,Moderate-High,High,Moderate-High,High,High,Moderate-High
Little Bear,1,TV,3-6,5 Seasons,,24 minutes,"Creativity & Imagination, Family Relationships, Social Development, Emotional Intelligence, Family Values",Low to Moderate,Traditional Hand-Drawn 2D animation,Moderate,Low,Low,Moderate,Low,Low
Little Einsteins (2005-2009),5,TV,3-6,2 Seasons,,24 minutes,"Cultural Appreciation, Music, Art, Problem Solving, Cognitive Development, Teamwork, History",High,digital 2D animation. CGI for the Rocket ship and certain elements.,High,High,High,Very-High,High,High
Llama Llama (2018-2019),2,TV,3-6,2 Seasons,,24 minutes,"Social-Emotional, Family Values, Problem Solving, Relatable Situations, Social Development, Emotional Intelligence",Moderate,Digital 2D animation,Moderate,Low,Low-Moderate,Moderate,Low,Low-Moderate
Lucas the spider(2021),3,TV,3-6,6 Seasons,,03-59+ minutes (compilation),"Overcoming Fears, Emotional Intelligence, Relatable Situations, Creativity & Imagination, Recurring Antagonist",Low,3D CGI animation,Low,Moderate,Moderate,Moderate,Moderate,Moderate
Lyla in the loop,3,TV,5-8,2 Seasons,,26 minutes,"Creativity & Imagination, STEM, Problem Solving, Motor Skills, Curiosity, Critical Thinking, Relatable Situations",High,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds.,Moderate-High,Moderate,Moderate,Moderate-High,Moderate,Moderate
Maddie's Do You Know?,3,TV,4-8,5 Seasons,,14 minutes,"STEM, Creativity & Imagination, Curiosity, Science, Technology, Exploration, Engineering Concepts, Critical Thinking, Problem Solving",High,Live-action educational series with some animation and CGI. Color Palette: Natural colors with bright visuals during explanations.,High,Moderate,Moderate,Moderate,Moderate,High
Maggie and the Ferocious Beast,2,TV,3-6,3 Seasons,,23 minutes,"Creativity & Imagination, Friendship, Problem Solving, Emotional Intelligence",Moderate,"2D Digital Animation with simple, childlike designs. Color Palette: Bright and pastel colors with minimal backgrounds.",Moderate,Low-Moderate,Moderate,Moderate,Low,Moderate
maizenofficial,4,YouTube,"7-12, 12+",,,,"Arts & Crafts, Creativity & Imagination, Building and Design, Entertainment, Humor, Problem Solving, Critical Thinking, MineCraft, Interactive Game Elements",Low,Real In Game Video Footage,High,High,Moderate-High,High,High,High
Marcus Level,5,TV,7-11,1 Season,,11 minutes,"Creativity & Imagination, Fantasy Elements, Problem Solving, Perseverance, Adventure, Teamwork, Critical Thinking, Mild Peril, Mild Fantasy Violence",Moderate,"2D Digital Animation with a video game aesthetic. Color Palette: Bright, vivid colors with high saturation",High,Very-High,High,High,Very-High,Very-High
Masha and the Bear,5,TV,3-7,5 Seasons,,07-59+ minutes,"Creativity & Imagination, Friendship, Problem Solving, Patience, Humor, Mischievious Behaviour",Low to Moderate,"3D CGI animation with high-quality, detailed visuals",Moderate,High,Moderate-High,High,High,High
Mickey Mouse Clubhouse,4,TV,2-5,4 Seasons,,24 minutes,"Early Childhood experiences, Preschool-Basics, Numeracy, Teamwork, Shapes, Cognitive Development",High,3D CGI animation,Moderate-High,High,High,High,High,Moderate-High
Miffy and friends,1,TV,2-5,3 Seasons,,05-55+ minutes,"Early Childhood experiences, Social-Emotional, Social Development, Teamwork, Emotional Intelligence",Moderate,"2D Stop-Motion Animation with Simple Designs, Emphasizes clear shapes and actions easily understood by young viewers.",Low,Low,Low-Moderate,Moderate,Low,Low
Milo,3,TV,3-6,2 Seasons,,11 minutes,"Cultural & Social, Career Exploration, Teamwork, Problem Solving, Responsibility, Curiosity",Moderate,2D Digital Animation with bright colors. Color Palette: Vibrant but not overwhelming.,Moderate,Moderate-High,Moderate,Moderate-High,High,Moderate
Minno - Bible Stories for Kids,3,YouTube,3-10,,,,"Religious Teachings, Positive Role Models, Spiritual Development, Cultures & Traditions, Cultural & Social, Biblical Stories, Faith, Religion, Christian Values, Morality, Positve Mindset",High,"Varies across series, primarily 2D and 3D animations with colorful visuals and relatable character designs.",Moderate-High,Moderate,Moderate,Moderate-High,Moderate,Moderate
Minuscule,1,YouTube,"2+, Any",,,,"Enviromental Awareness, Story Telling without Dialogue, Creativity & Imagination, Insect Behaviour, Nature, Nature Sounds, Entertainment, Humor, Relaxation, Music, Natural World, ASMR, Silly Comedy, Ecosystems, Slice of Life, Light Hearted",Low,Combination of CGI and Real-Life Backdrops,None,High,Low-Moderate,High,High,Moderate
"Mira, Royal Detective",4,TV,4-8,2 Seasons,,24 minutes,"Positive Role Models, Cultures & Traditions, Cultural Appreciation, Problem Solving, Critical Thinking, Mystery, Adventure, Curiosity",High,2D Digital Animation with Vibrant Colors,Moderate-High,Moderate-High,Moderate,Moderate,Moderate-High,Moderate-High
Miss Katie Sings,1,YouTube,2-6,,,,"Communiction & Expression, Cultural & Social, Learning through Songs, Music, sing-a-long, Positve Mindset, Social-Emotional, Courage, Mindfulness, Diversity, Politcal Leanings",Moderate,Live-Action Performances with Simple Props and Backgrounds,Moderate (Singing),Moderate,Moderate,Very-High,Moderate,Low
Miss Moni,3,YouTube,2-5,,,,"Learning through Songs, Preschool-Basics, Early Childhood experiences, Literacy, Numeracy, Vocabulary, Music, Language Learning, Phonics, sing-a-long, Cognitive Development, Auslan (Sign Language)",High,Live-Action and 2D Animation,Moderate-High,Moderate,Varies,High,Moderate,Low-Moderate
Miss Rachel,4,YouTube,1-4,,,,"Early Childhood experiences, Phonics, Language Learning, Speech Development, sing-a-long, Cognitive Development, Social-Emotional",High,Primarily live-action with Miss Rachel interacting directly with the audience. Some Puppet and 2D Animation use,High,Low-Moderate,Moderate,High,Low-Moderate,Low-Moderate
Mister Maker,2,TV,3-7,3 Seasons,,19 minutes,"Positive Role Models, Creativity & Imagination, Arts & Crafts, Curiosity, Motor Skills, Art, Colours",High,Live-Action with colorful crafts and animated segments. Color Palette: Bright and varied colors.,Moderate-High,High,Moderate-High,High,High,Moderate
Mister Rogers' Neighbourhood,1,TV,3-7,31 Seasons,,28 minutes,"Cultural & Social, Elementary-Basics, Life Lessons, Social-Emotional, Social Development, Literacy, Emotional Intelligence, Relatable Situations, Relaxation, Community Service, Problem Solving, Critical Thinking, Family Values, sing-a-long, Morality, Friendship, Creativity & Imagination",High,"Live-Action with puppet segments. Color Palette: Soft, natural colors.",Moderate,Low,Low-Moderate,Moderate,Low,Low
Molly of Denali,3,TV,4-8,4 Seasons,,26 minutes,"STEM, Cultures & Traditions, Cultural & Social, Cultural Appreciation, Problem Solving, Adventure, Exploration, Nature, Natural World, Mystery",High,2D Digital Animation with cultural representation. Color Palette: Bright colors reflecting Alaskan landscapes.,Moderate-High,Moderate,Moderate,Moderate,Moderate-High,Moderate
Moominvalley,2,TV,6-10,3 Seasons,,22 minutes,"Creativity & Imagination, Social-Emotional, Friendship, Fantasy Elements, Emotional Intelligence, Relaxation",Moderate,3D CGI Animation with a soft aesthetic. Color Palette: Pastel colors and gentle hues.,Moderate,Moderate,Low-Moderate,Moderate,Low-Moderate,Moderate
Moon and Me,1,TV,1-4,1 Season,,22 minutes,"Early Childhood experiences, Preschool-Basics, Creativity & Imagination, Social-Emotional",Moderate,"Stop-Motion Animation with soft toys. Color Palette: Soft, soothing colors.",Low-Moderate,Low,Low,Moderate,Low,Low
Mother goose club,4,YouTube,2-5,,,,"Preschool-Basics, Learning through Songs, Creativity & Imagination, Literacy, Numeracy, Language Learning, Speech Development, sing-a-long, Dance, Music, Cognitive Development",High,Live-Action with Colorful Costumes and Simple Sets,High,Moderate,Moderate,Very-High,Moderate,Moderate
Mr Bean Cartoon,4,TV,6-10,5 Seasons,,11 minutes,"Creativity & Imagination, Humor, Entertainment, Problem Solving, Mischievious Behaviour",Low,2D Digital Animation with exaggerated expressions. Color Palette: Bright colors with bold contrasts.,Low-Moderate,High,Moderate-High,High,High,High
"Mr. Monkey, Monkey Mechanic",3,TV,3-6,2 Seasons,,5 minutes (average),"Creativity & Imagination, STEM, Mechanics, Problem Solving, Engineering Concepts",Moderate,2D Digital Animation with bright colors. Color Palette: Vibrant and engaging.,Low-Moderate,Moderate-High,Moderate,High,High,Moderate
MyGoSignLanguageforKids-ASL,3,YouTube,0-5,,,,"Memory Exercises, American Sign Language, Communiction & Expression, Deaf Community, Visual Demonstrations, Language Learning, Cognitive Development, Motor Skills, Literacy",High,Live-action demonstrations combined with animated segments to illustrate signs and concepts effectively.,High,Moderate,Moderate,High,Moderate,Moderate
Nanalan,1,YouTube,2-5,,,,"Early Childhood experiences, Creativity & Imagination, Preschool-Basics, Communiction & Expression, Vocabulary, Social-Emotional, Social Development, Relatable Situations",Moderate,"Puppet-based animation with simple sets and characters, creating a unique and engaging visual experience",Moderate,Low-Moderate,Low-Moderate,Moderate,Low-Moderate,Low
Nick Cope's Popcast,3,TV,3-6,3 Seasons,,02-07 minutes,"Communiction & Expression, Creativity & Imagination, Social-Emotional, Emotional Intelligence, sing-a-long, Dance, Music",High,Live-action educational series with some animation and CGI. Color Palette: Natural colors with bright visuals during explanations.,Moderate,Moderate,High,High,Moderate,Moderate
Ninja Kids,5,YouTube,5-12,,,,"Super Hero Themes, Creativity & Imagination, Positive Role Models, Physical Fitness, Exercise, Adventure, Entertainment, Skit Comedy, Choreographed Action Scenes, Outdoor Exploration, Courage, Confidence Building, Martial Arts, Mild Violent themes, Mischievious Behaviour",Moderate,Live-action videos with dynamic editing and occasional special effects to enhance the viewing experience.,High,High,High,High,High,High
Ninjago,5,TV,7-12,4 Seasons,,22 minutes,"Complex & Emotional Themes, Teamwork, Perseverance, Courage, Problem Solving, Morality, Entertainment, Mild Fantasy Violence, Mild Violent themes",Low to Moderate,3D CGI Animation with Detailed and Dynamic Visuals,High,Very-High,High,High,Very-High,Very-High
Noddy Original Series (1998),2,TV,3-6,2 Seasons,,10 minutes,"Friendship, Problem Solving, Adventure, Social-Emotional, Social Development",Low to Moderate,Stop-Motion with simple models. Color Palette: Bright but soft colors.,Low-Moderate,Low-Moderate,Moderate,Low-Moderate,Low-Moderate,Low
"Noddy, Toyland Detective (2016)",4,TV,4-7,,,11 minutes,"Friendship, Problem Solving, Adventure, Social-Emotional, Social Development",Low to Moderate,3D CGI animation with bright and vivid colors,High,Moderate-High,High,High,High,Moderate-High
Noodle & Pals,3,YouTube,2-5,,,,"Preschool-Basics, Social-Emotional, Language Learning, Cognitive Development, Music, Literacy, Numeracy",High,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds,Moderate-High,Moderate,Moderate,Very-High,Moderate,Moderate
Noodle and Bun,5,YouTube,3-8,,,,"Story Telling without Dialogue, Creativity & Imagination, Humor, Silly Comedy, Captivating Visuals, Friendship, Animals",Low,3D CGI Animation with Detailed and Dynamic Visuals,None,Moderate-High,Moderate,High,Moderate-High,Moderate
Numberblocks (2017-present),3,TV,3-6,7 Seasons,,5 minutes,"Elementary-Basics, Numeracy, Problem Solving, Math, Repetitive Learning",High,3D CGI animation,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Odd Squad,5,TV,6-10,3 Seasons,,27 minutes,"STEM, Math, Numeracy, Teamwork, Critical Thinking, Problem Solving",High,Combination of live-action and CGI animation.,High,High,High,High,High,High
Oggy and the Cockroaches,5,TV,6-10,7 Seasons,,7 minutes,"Creativity & Imagination, Humor, Problem Solving, Entertainment, Slapstic Comedy, Mischievious Behaviour",Low to Moderate,2D Digital Animation with exaggerated and dynamic character movements.,None,Very-High,High,High,Very-High,Very-High
Olivia,3,TV,3-6,2 Seasons,,22 minutes,"Creativity & Imagination, Social-Emotional, Problem Solving, Teamwork, Perseverance",Moderate,3D CGI Animation with a unique visual style resembling charcoal drawings with splashes of color.,Moderate,Low-Moderate,Moderate,Moderate,Low-Moderate,Moderate
Omar and hana,3,TV,3-7,5 Seasons,,5 minutes,"Cultural & Social, Cultures & Traditions, Religion, Family Values, Morality, Emotional Intelligence, sing-a-long, Relatable Situations, Family Relationships",High,2D Digital Animation with bright colors. Color Palette: Vibrant but not overwhelming.,Moderate-High,Moderate,Moderate,Moderate-High,Moderate,Moderate
One Piece,5,TV,12+,1500+ Episodes,,24 minutes,"Cultures & Traditions, Creativity & Imagination, Complex & Emotional Themes, Teamwork, Perseverance, Morality, Entertainment, Humor, Slapstic Comedy, Emotional Intelligence, Friendship, Social-Emotional, Adventure, Mild Violent themes, Mild Fantasy Violence, Mild Peril, Mild Mature Themes",Moderate,"Traditional 2D Animation with a distinctive anime style, featuring exaggerated expressions, dynamic action sequences, and detailed environments.",High,High,Moderate-High,High,High,Moderate-High
Oswald,2,TV,3-6,1 Season,,24 minutes,"Friendship, Problem Solving, Social-Emotional, Social Development, Critical Thinking, Conflict Resolution, Emotional Intelligence, Relatable Situations, Family Relationships",High,2D digital animation,Moderate,Low,Low-Moderate,Moderate,Low,Low-Moderate
Out of the Box,3,TV,3-7,3 Seasons,,25 minutes,"Creativity & Imagination, Arts & Crafts, Music, Motor Skills, Social-Emotional, Colours, Shapes, Art",High,Live-action with real actors.,Moderate-High,Moderate,Moderate,High,Low-Moderate,Moderate
Pajanimals,2,TV,2-5,2 Seasons,,11 minutes,"Overcoming Fears, Bedtime Routines, Social-Emotional, Relaxation, Family Relationships, Emotional Intelligence",Moderate,Live-action puppetry with colorful characters.,Moderate,Low-Moderate,Low-Moderate,High,Low,Low-Moderate
Paw patrol,5,TV,3-6,11 Seasons,,22 minutes,"Community Service, Teamwork, Problem Solving, Courage",Low,3D CGI animation,High,Very-High,High,High,High,High
Peg+Cat,3,TV,4-7,3 Seasons,,11 minutes,"Math, Problem Solving, Critical Thinking, Adventure, Perseverance",High,"2D Digital Animation with a hand-drawn, sketch-like aesthetic.",High,Moderate,Moderate,High,Moderate,Moderate
Peppa pig (2004-present),2,TV,2-5,8 Seasons,,5 minutes,"Social-Emotional, Family Relationships, Friendship, Routine, Social Development, Relatable Situations, Tantrums, Mischievious Behaviour",Moderate,"2D Digital Animation with simple, flat designs. Bright but pastel-like colors with minimal shading.",Moderate,Low-Moderate,Moderate,Moderate,Low,Moderate
Pete The Cat,2,TV,3-7,2 Seasons,,14 minutes,"Creativity & Imagination, Music, Emotional Intelligence, Problem Solving",Moderate,2D Digital animation with a hand-drawn look,Moderate,Low-Moderate,Low-Moderate,High,Low,Moderate
Peter Rabbit(2012-2016),3,TV,4-8,2 Seasons,,12 minutes,"Enviromental Awareness, Adventure, Problem Solving, Nature, Teamwork, Courage",Moderate,3D CGI animation,Moderate,Moderate-High,Moderate,Moderate,Moderate,Moderate
Phineas and Ferb,5,TV,8-12,6 Seasons,,22 minutes,"STEM, Creativity & Imagination, Problem Solving, Curiosity, Adventure, Humor, Family Relationships, Entertainment, Engineering Concepts, Mischievious Behaviour",Low,"2D Digital Animation with stylized, geometric designs. Bright and vivid colors with detailed backgrounds.",High,High,Moderate-High,High,High,High
Pingu,1,TV,2-5,6 Seasons,,5 minutes,"Social-Emotional, Family Relationships, Emotional Intelligence, Mischievious Behaviour",Low,Traditional Stop-Motion (claymation),None,Low,Low-Moderate,Low-Moderate,Low-Moderate,Low
Pinkalicious & Peterrific,4,TV,3-6,6 Seasons,,26 minutes,"Creativity & Imagination, Art, Music, Problem Solving, Teamwork, Motor Skills",High,"2D digital animation with bright colors and exaggerated, stylized designs. Bright and vivid colors with high contrast.",High,High,High,High,High,High
Pip and Posy,3,TV,2-5,2 Seasons,,7 minutes,"Cause and Effect, Friendship, Social-Emotional, Problem Solving, Emotional Intelligence, Conflict Resolution, Relatable Situations, Social Development",Moderate,3D CGI animation delivered slowly and smoothly,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Pipi Mā,3,YouTube,2-6,,,,"Te reo Māori language development, Cultures & Traditions, Cultural Appreciation, Māori immersion preschool, Cultural & Social, Numeracy, Literacy, Traditional Narratives, sing-a-long",High,2D Animation with Cultural Themes and Soft Colors,Moderate-High,Moderate,Moderate,Moderate,Moderate,Low-Moderate
PJ Masks,5,TV,3-6,6 Seasons,,11 minutes,"Super Hero Themes, Creativity & Imagination, Entertainment, Morality, Social Development, Social-Emotional",Low to Moderate,3D CGI Animation with bright and vibrant colors. Color Palette: Bright and cheerful colors with high saturation.,High,Very-High,High,High,Very-High,Very-High
Planet earth,3,TV,8+,1 Season,,50 minutes,"Enviromental Awareness, Natural World, Nature, Natural History, Wildlife Exploration, Science, Realistic Depictions of Nature",Low to Moderate,Live-action nature documentary with high-definition footage. Natural colors showcasing diverse ecosystems.,Low-Moderate,Moderate,Moderate,High,Low-Moderate,Moderate
Play School,2,TV,2-5,59 Seasons,,25 minutes,"Creativity & Imagination, Preschool-Basics, Numeracy, Literacy, Shapes, Colours, Social-Emotional, Problem Solving, sing-a-long",High,Live-action with real actors.,Moderate,Low-Moderate,Moderate,Moderate-High,Low-Moderate,Moderate
Pocoyo,3,TV,2-4,5 Seasons,,7 minutes,"Creativity & Imagination, Cultural & Social, Language Learning, Social-Emotional, Problem Solving, Teamwork, Emotional Intelligence, Curiosity, Cognitive Development",High,3D CGI animation delivered slowly and smoothly,Low,Moderate,Moderate,Moderate,Moderate,Low-Moderate
Pokemon,5,TV,7-12,25 Seasons,,22 minutes,"Enviromental Awareness, Overcoming Fears, Friendship, Teamwork, Wildlife Exploration, Entertainment, Humor, Exploration, Perseverance, Mild Fantasy Violence",Low,traditional and Digital hand-drawn 2D animation. Anime style,High,High,High,High,High,High
Postman Pat (1981–2008),2,TV,3-6,9 Seasons,,15 minutes,"Community Service, Problem Solving, Responsibility, Teamwork, Entertainment",Low,Traditional Stop-Motion animation,Moderate,Low-Moderate,Low-Moderate,Moderate,Low-Moderate,Low-Moderate
Postman Pat: Special Delivery Service (2008–2017),4,TV,3-6,,,15 minutes,"Community Service, Problem Solving, Responsibility, Teamwork, Entertainment",Low,3D CGI animation,Moderate-High,Moderate-High,High,High,High,High
